team,match,alliance,shelf,balls,hatches,climb,climb_assist_a,climb_assist_b,climb_was_assisted
4682,58,RED,1,4,6,P3,0,0,0
4682,58,RED,0,2,3,P3,0,0,0
4512,58,RED,0,4,6,P12,0,0,0
4512,58,RED,1,2,3,P3,0,0,0
3219,58,RED,1,4,6,P3,0,0,0
3219,58,RED,0,2,3,P3,0,0,0
2903,59,RED,1,7,4,P3,0,0,0
2903,59,RED,0,4,1,P3,0,0,0
1318,59,RED,0,7,4,P6,0,0,0
1318,59,RED,0,4,1,P3,0,0,0
1778,59,RED,1,7,4,P3,0,0,0
1778,59,RED,0,4,1,P3,0,0,0
3268,6,RED,0,1,1,P3,0,0,0
3268,6,RED,0,0,0,NULL,0,0,0
360,6,RED,1,1,1,NULL,0,0,0
360,6,RED,1,0,0,P3,0,0,0
4180,6,RED,1,1,1,P3,0,0,0
4180,6,RED,1,0,0,NULL,0,0,0
3238,60,RED,0,1,2,P3,0,0,0
3238,60,RED,1,0,1,P3,0,0,0
3663,60,RED,0,1,2,P3,0,0,0
3663,60,RED,1,0,1,P3,0,0,0
4180,60,RED,1,1,2,P3,0,0,0
4180,60,RED,0,0,1,NULL,0,0,0
2147,61,RED,0,1,1,P3,0,0,0
2147,61,RED,1,4,5,P3,0,0,0
1983,61,RED,1,1,1,P12,0,0,0
1983,61,RED,0,4,5,P12,0,0,0
5803,61,RED,0,1,1,P3,0,0,0
5803,61,RED,1,4,5,NULL,0,0,0
2605,62,RED,1,4,3,P3,0,0,0
2605,62,RED,1,2,1,P3,0,0,0
4579,62,RED,0,4,3,P3,0,0,0
4579,62,RED,0,2,1,NULL,0,0,0
4173,62,RED,1,4,3,P3,0,0,0
4173,62,RED,1,2,1,P3,0,0,0
4309,63,RED,0,0,1,NULL,0,0,0
4309,63,RED,0,1,5,NULL,0,0,0
7627,63,RED,1,0,1,P3,0,0,0
7627,63,RED,0,1,5,P3,0,0,0
2903,63,RED,1,0,1,P12,0,0,0
2903,63,RED,0,1,5,P3,0,0,0
4469,64,RED,0,0,1,P3,0,0,0
4469,64,RED,1,5,3,P12,0,0,0
1318,64,RED,1,0,1,P3,0,0,0
1318,64,RED,0,5,3,P3,0,0,0
3219,64,RED,0,0,1,P3,0,0,0
3219,64,RED,0,5,3,P3,0,0,0
3786,65,RED,0,7,3,P6,0,0,0
3786,65,RED,1,3,2,NULL,0,0,0
2605,65,RED,1,7,3,P6,0,0,0
2605,65,RED,0,3,2,NULL,0,0,0
5803,65,RED,1,7,3,NULL,0,0,0
5803,65,RED,1,3,2,P3,0,0,0
2980,66,RED,1,3,3,P3,0,0,0
2980,66,RED,1,1,3,P3,0,0,0
949,66,RED,0,3,3,P3,0,0,0
949,66,RED,0,1,3,NULL,0,0,0
4682,66,RED,0,3,3,P3,0,0,0
4682,66,RED,1,1,3,P3,0,0,0
1778,67,RED,0,3,7,P12,0,0,0
1778,67,RED,0,2,1,NULL,0,0,0
4309,67,RED,0,3,7,NULL,0,0,0
4309,67,RED,0,2,1,P3,0,0,0
3049,67,RED,0,3,7,P3,0,0,0
3049,67,RED,0,2,1,NULL,0,0,0
3826,68,RED,1,4,1,P3,0,0,0
3826,68,RED,1,3,2,P3,0,0,0
3663,68,RED,0,4,1,P3,0,0,0
3663,68,RED,0,3,2,P3,0,0,0
2147,68,RED,1,4,1,P3,0,0,0
2147,68,RED,1,3,2,P3,0,0,0
4682,7,RED,0,4,1,NULL,0,0,0
4682,7,RED,0,1,3,P3,0,0,0
1983,7,RED,0,4,1,P3,0,0,0
1983,7,RED,1,1,3,P6,0,0,0
5295,7,RED,0,4,1,P3,0,0,0
5295,7,RED,0,1,3,NULL,0,0,0
5803,8,RED,0,2,3,NULL,0,0,0
5803,8,RED,1,4,5,NULL,0,0,0
5683,8,RED,0,2,3,P3,0,0,0
5683,8,RED,0,4,5,P3,0,0,0
2910,8,RED,1,2,3,P3,0,0,0
2910,8,RED,1,4,5,P12,0,0,0
3268,9,RED,0,1,2,P3,0,0,0
3268,9,RED,0,0,3,NULL,0,0,0
4309,9,RED,1,1,2,P3,0,0,0
4309,9,RED,0,0,3,P3,0,0,0
2605,9,RED,1,1,2,NULL,0,0,0
2605,9,RED,1,0,3,NULL,0,0,0
